Название товара;Короткое описание товара;Полное описание товара;Скрыт ли товар на сайте?;Артикул;Цена продажи, без учёта скидок;Старая цена;Закупочная цена;Остаток;JSON Остаток;JSON BarCode;JSON Цена;Название товара у орбиты;Ссылка от орбиты;Ед. измерения;Изображения товара;Короткое SEO описание товара;Полное SEO описание товара;Заголовок страницы товара;Мета-тег keywords;Мета-тег description;URL переменная пути;Описание модификации товара;Идентификатор товара в магазине;Пользовательский идентификатор товара;Изображение модификации товара;Название х-ки товара №1;Значение х-ки товара №1;Название св-ва для модификации товара №1;Значение св-ва для модификации товара №1
Колонка BLUETOOTH Орбита JBK(RS)-408;;"<table align=""center"" border=""1"" cellpadding=""1"" cellspacing=""1"" style=""box-sizing: border-box; border: 0px; font-family: Roboto, sans-serif; font-size: 16px; margin: 0px 0px 20px; outline: 0px; padding: 0px; vertical-align: baseline; width: 1078px; max-width: 100%; background-color: transparent; border-collapse: collapse; color: rgb(0, 0, 0);"">
	<tbody style=""box-sizing: border-box; border: 0px; font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 0px; vertical-align: baseline;"">
		<tr style=""box-sizing: border-box; border: 0px; font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 0px; vertical-align: baseline;"">
			<td style=""box-sizing: border-box; border: 1px solid rgb(225, 225, 225); font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 8px; vertical-align: top; line-height: 1.5;"">FM</td>
			<td style=""box-sizing: border-box; border: 1px solid rgb(225, 225, 225); font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 8px; vertical-align: top; line-height: 1.5;"">есть </td>
		</tr>
		<tr style=""box-sizing: border-box; border: 0px; font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 0px; vertical-align: baseline;"">
			<td style=""box-sizing: border-box; border: 1px solid rgb(225, 225, 225); font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 8px; vertical-align: top; line-height: 1.5;"">Bluetooth</td>
			<td style=""box-sizing: border-box; border: 1px solid rgb(225, 225, 225); font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 8px; vertical-align: top; line-height: 1.5;"">есть</td>
		</tr>
		<tr style=""box-sizing: border-box; border: 0px; font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 0px; vertical-align: baseline;"">
			<td style=""box-sizing: border-box; border: 1px solid rgb(225, 225, 225); font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 8px; vertical-align: top; line-height: 1.5;"">Разъёмы</td>
			<td style=""box-sizing: border-box; border: 1px solid rgb(225, 225, 225); font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 8px; vertical-align: top; line-height: 1.5;"">USB / TF / AUX-3.5мм</td>
		</tr>
		<tr style=""box-sizing: border-box; border: 0px; font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 0px; vertical-align: baseline;"">
			<td style=""box-sizing: border-box; border: 1px solid rgb(225, 225, 225); font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 8px; vertical-align: top; line-height: 1.5;"">Мощность (MAX)</td>
			<td style=""box-sizing: border-box; border: 1px solid rgb(225, 225, 225); font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 8px; vertical-align: top; line-height: 1.5;"">5Вт</td>
		</tr>
		<tr style=""box-sizing: border-box; border: 0px; font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 0px; vertical-align: baseline;"">
			<td style=""box-sizing: border-box; border: 1px solid rgb(225, 225, 225); font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 8px; vertical-align: top; line-height: 1.5;"">Съемный аккумулятор</td>
			<td style=""box-sizing: border-box; border: 1px solid rgb(225, 225, 225); font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 8px; vertical-align: top; line-height: 1.5;"">18650(1200mA)</td>
		</tr>
		<tr style=""box-sizing: border-box; border: 0px; font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 0px; vertical-align: baseline;"">
			<td style=""box-sizing: border-box; border: 1px solid rgb(225, 225, 225); font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 8px; vertical-align: top; line-height: 1.5;"">Встроенный микрофон </td>
			<td style=""box-sizing: border-box; border: 1px solid rgb(225, 225, 225); font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 8px; vertical-align: top; line-height: 1.5;"">нет</td>
		</tr>
		<tr style=""box-sizing: border-box; border: 0px; font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 0px; vertical-align: baseline;"">
			<td style=""box-sizing: border-box; border: 1px solid rgb(225, 225, 225); font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 8px; vertical-align: top; line-height: 1.5;"">Размер</td>
			<td style=""box-sizing: border-box; border: 1px solid rgb(225, 225, 225); font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 8px; vertical-align: top; line-height: 1.5; text-align: center;"">
			<p style=""box-sizing: border-box; border: 0px; font-family: inherit; font-style: inherit; font-weight: inherit; outline: 0px; padding-top: 0px; vertical-align: baseline; text-align: left;"">22.5*16*9 см</p>
			</td>
		</tr>
		<tr style=""box-sizing: border-box; border: 0px; font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 0px; vertical-align: baseline;"">
			<td colspan=""1"" style=""box-sizing: border-box; border: 1px solid rgb(225, 225, 225); font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 8px; vertical-align: top; line-height: 1.5;"">Прочее</td>
			<td colspan=""1"" style=""box-sizing: border-box; border: 1px solid rgb(225, 225, 225); font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 8px; vertical-align: top; line-height: 1.5;""> </td>
		</tr>
	</tbody>
</table>
 

<p style=""box-sizing: border-box; border: 0px; font-family: Roboto, sans-serif; font-size: 16px; outline: 0px; padding-top: 0px; vertical-align: baseline; color: rgb(0, 0, 0);""> </p>
 

<div style=""box-sizing: border-box; border: 0px; font-family: Roboto, sans-serif; font-size: 16px; margin: 0px; outline: 0px; padding: 0px; vertical-align: baseline; color: rgb(0, 0, 0);""><br style=""box-sizing: border-box;"" />
<b style=""box-sizing: border-box;"">ЦВЕТ ТОВАРА МОЖЕТ ОТЛИЧАТЬСЯ ОТ ЦВЕТА НА ФОТОГРАФИИ. ВЫБОР ЦВЕТА НЕ ПРЕДОСТАВЛЯЕТСЯ.</b></div>";;Б0000007356;428,00;0,00;0,00;565,00000;0;Б0000007356;429.03;JBK(RS)-408 колонка BLUETOOTH;http://www.absolut-tds.com/search/?q=Б0000007356;шт;"https://i3.stat01.com/2/972/109710911/6e1ffd/dsc7226-jpg.jpg
https://i3.stat01.com/2/972/109710912/6e1ffd/dsc7232-jpg.jpg";;;Колонка BLUETOOTH Орбита JBK-408 купить;;;Kolonka-BLUETOOTH-Orbita-JBK-4;;93872321;;;Бренд;ОРБИТА;Минимальный заказ;1
JBK-8836 колонка BLUETOOTH;;"<table align=""center"" border=""1"" cellpadding=""1"" cellspacing=""1"" style=""border: 0px; font-family: Roboto, sans-serif; font-size: 16px; margin: 0px 0px 20px; outline: 0px; padding: 0px; vertical-align: baseline; width: 1078px; max-width: 100%; background-color: transparent; border-collapse: collapse; color: rgb(0, 0, 0);"">
	<tbody style=""box-sizing: border-box; border: 0px; font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 0px; vertical-align: baseline;"">
		<tr style=""box-sizing: border-box; border: 0px; font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 0px; vertical-align: baseline;"">
			<td style=""box-sizing: border-box; border: 1px solid rgb(225, 225, 225); font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 8px; vertical-align: top; line-height: 1.5;"">FM</td>
			<td style=""box-sizing: border-box; border: 1px solid rgb(225, 225, 225); font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 8px; vertical-align: top; line-height: 1.5;"">есть </td>
		</tr>
		<tr style=""box-sizing: border-box; border: 0px; font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 0px; vertical-align: baseline;"">
			<td style=""box-sizing: border-box; border: 1px solid rgb(225, 225, 225); font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 8px; vertical-align: top; line-height: 1.5;"">Bluetooth</td>
			<td style=""box-sizing: border-box; border: 1px solid rgb(225, 225, 225); font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 8px; vertical-align: top; line-height: 1.5;"">есть</td>
		</tr>
		<tr style=""box-sizing: border-box; border: 0px; font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 0px; vertical-align: baseline;"">
			<td style=""box-sizing: border-box; border: 1px solid rgb(225, 225, 225); font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 8px; vertical-align: top; line-height: 1.5;"">Разъёмы</td>
			<td style=""box-sizing: border-box; border: 1px solid rgb(225, 225, 225); font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 8px; vertical-align: top; line-height: 1.5;"">USB / TF / AUX-3.5мм  / MIC-6.3мм </td>
		</tr>
		<tr style=""box-sizing: border-box; border: 0px; font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 0px; vertical-align: baseline;"">
			<td style=""box-sizing: border-box; border: 1px solid rgb(225, 225, 225); font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 8px; vertical-align: top; line-height: 1.5;"">Мощность (MAX)</td>
			<td style=""box-sizing: border-box; border: 1px solid rgb(225, 225, 225); font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 8px; vertical-align: top; line-height: 1.5;"">10Вт</td>
		</tr>
		<tr style=""box-sizing: border-box; border: 0px; font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 0px; vertical-align: baseline;"">
			<td style=""box-sizing: border-box; border: 1px solid rgb(225, 225, 225); font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 8px; vertical-align: top; line-height: 1.5;"">Встроенный аккумулятор</td>
			<td style=""box-sizing: border-box; border: 1px solid rgb(225, 225, 225); font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 8px; vertical-align: top; line-height: 1.5;"">1200mA (18650)</td>
		</tr>
		<tr style=""box-sizing: border-box; border: 0px; font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 0px; vertical-align: baseline;"">
			<td style=""box-sizing: border-box; border: 1px solid rgb(225, 225, 225); font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 8px; vertical-align: top; line-height: 1.5;"">Встроенный микрофон </td>
			<td style=""box-sizing: border-box; border: 1px solid rgb(225, 225, 225); font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 8px; vertical-align: top; line-height: 1.5;"">нет</td>
		</tr>
		<tr style=""box-sizing: border-box; border: 0px; font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 0px; vertical-align: baseline;"">
			<td style=""box-sizing: border-box; border: 1px solid rgb(225, 225, 225); font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 8px; vertical-align: top; line-height: 1.5;"">Размер</td>
			<td style=""box-sizing: border-box; border: 1px solid rgb(225, 225, 225); font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 8px; vertical-align: top; line-height: 1.5;"">
			<p style=""box-sizing: border-box; border: 0px; font-family: inherit; font-style: inherit; font-weight: inherit; outline: 0px; padding-top: 0px; vertical-align: baseline;"">38*18*16 см</p>
			</td>
		</tr>
		<tr style=""box-sizing: border-box; border: 0px; font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 0px; vertical-align: baseline;"">
			<td colspan=""1"" style=""box-sizing: border-box; border: 1px solid rgb(225, 225, 225); font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 8px; vertical-align: top; line-height: 1.5;"">Прочее</td>
			<td colspan=""1"" style=""box-sizing: border-box; border: 1px solid rgb(225, 225, 225); font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 8px; vertical-align: top; line-height: 1.5;"">материал: пластик/дерево</td>
		</tr>
	</tbody>
</table>";;Б0000006391;1 206,00;0,00;0,00;500,00000;0;Б0000006391;1206.51;JBK-8836 колонка BLUETOOTH;http://www.absolut-tds.com/search/?q=Б0000006391;шт;"https://i4.stat01.com/2/3527/135269627/6e1ffd/8836-3-jpg.jpg
https://i4.stat01.com/2/3527/135269628/6e1ffd/46307-png.png
https://i4.stat01.com/2/3527/135269629/6e1ffd/img20200703143334-jpg.jpg
https://i4.stat01.com/2/3527/135269630/6e1ffd/img20200703143614-jpg.jpg";;;JBK-8836 колонка BLUETOOTH купить;;;JBK-8836-kolonka-BLUETOOTH;;137142216;;;;;Минимальный заказ;1
Орбита OT-VNI21 Белая видеокамера IP-WI-FI;;"<table border=""1"" cellpadding=""1"" cellspacing=""1"" style=""box-sizing: border-box; border: 0px; font-family: Roboto, sans-serif; font-size: 16px; margin: 0px 0px 20px; outline: 0px; padding: 0px; vertical-align: baseline; width: 1078px; max-width: 100%; background-color: transparent; border-collapse: collapse; color: rgb(0, 0, 0);"">
	<tbody style=""box-sizing: border-box; border: 0px; font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 0px; vertical-align: baseline;"">
		<tr style=""box-sizing: border-box; border: 0px; font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 0px; vertical-align: baseline;"">
			<td style=""box-sizing: border-box; border: 1px solid rgb(225, 225, 225); font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 8px; vertical-align: top; line-height: 1.5;"">Максимальное разрешение</td>
			<td style=""box-sizing: border-box; border: 1px solid rgb(225, 225, 225); font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 8px; vertical-align: top; line-height: 1.5;"">2.0 Mп FHD 1080P (1920x1080) </td>
		</tr>
		<tr style=""box-sizing: border-box; border: 0px; font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 0px; vertical-align: baseline;"">
			<td style=""box-sizing: border-box; border: 1px solid rgb(225, 225, 225); font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 8px; vertical-align: top; line-height: 1.5;"">Связь</td>
			<td style=""box-sizing: border-box; border: 1px solid rgb(225, 225, 225); font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 8px; vertical-align: top; line-height: 1.5;"">WI-FI - 802.11 b/n/g         </td>
		</tr>
		<tr style=""box-sizing: border-box; border: 0px; font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 0px; vertical-align: baseline;"">
			<td style=""box-sizing: border-box; border: 1px solid rgb(225, 225, 225); font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 8px; vertical-align: top; line-height: 1.5;"">Объектив </td>
			<td style=""box-sizing: border-box; border: 1px solid rgb(225, 225, 225); font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 8px; vertical-align: top; line-height: 1.5;"">3.6 мм / F1/2""     </td>
		</tr>
		<tr style=""box-sizing: border-box; border: 0px; font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 0px; vertical-align: baseline;"">
			<td style=""box-sizing: border-box; border: 1px solid rgb(225, 225, 225); font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 8px; vertical-align: top; line-height: 1.5;"">Матрица</td>
			<td style=""box-sizing: border-box; border: 1px solid rgb(225, 225, 225); font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 8px; vertical-align: top; line-height: 1.5;"">Sony / CMOS / 0.1 LUX / угол обзора 85 / GK7102</td>
		</tr>
		<tr style=""box-sizing: border-box; border: 0px; font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 0px; vertical-align: baseline;"">
			<td colspan=""1"" style=""box-sizing: border-box; border: 1px solid rgb(225, 225, 225); font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 8px; vertical-align: top; line-height: 1.5;"">Слот для карты памяти </td>
			<td colspan=""1"" style=""box-sizing: border-box; border: 1px solid rgb(225, 225, 225); font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 8px; vertical-align: top; line-height: 1.5;"">TF до 128Гб / 1 час 500Мб</td>
		</tr>
		<tr style=""box-sizing: border-box; border: 0px; font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 0px; vertical-align: baseline;"">
			<td style=""box-sizing: border-box; border: 1px solid rgb(225, 225, 225); font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 8px; vertical-align: top; line-height: 1.5;"">Сетевые функции</td>
			<td style=""box-sizing: border-box; border: 1px solid rgb(225, 225, 225); font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 8px; vertical-align: top; line-height: 1.5;"">P2P Plug and Play/ TCP/IP, RTSP,ONVIF</td>
		</tr>
		<tr style=""box-sizing: border-box; border: 0px; font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 0px; vertical-align: baseline;"">
			<td colspan=""1"" style=""box-sizing: border-box; border: 1px solid rgb(225, 225, 225); font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 8px; vertical-align: top; line-height: 1.5;"">Формат сжатия видео / аудио </td>
			<td colspan=""1"" style=""box-sizing: border-box; border: 1px solid rgb(225, 225, 225); font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 8px; vertical-align: top; line-height: 1.5;"">H.264   </td>
		</tr>
		<tr style=""box-sizing: border-box; border: 0px; font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 0px; vertical-align: baseline;"">
			<td colspan=""1"" style=""box-sizing: border-box; border: 1px solid rgb(225, 225, 225); font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 8px; vertical-align: top; line-height: 1.5;"">LAN порт</td>
			<td colspan=""1"" style=""box-sizing: border-box; border: 1px solid rgb(225, 225, 225); font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 8px; vertical-align: top; line-height: 1.5;"">нет</td>
		</tr>
		<tr style=""box-sizing: border-box; border: 0px; font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 0px; vertical-align: baseline;"">
			<td colspan=""1"" style=""box-sizing: border-box; border: 1px solid rgb(225, 225, 225); font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 8px; vertical-align: top; line-height: 1.5;"">Подсветка</td>
			<td colspan=""1"" style=""box-sizing: border-box; border: 1px solid rgb(225, 225, 225); font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 8px; vertical-align: top; line-height: 1.5;"">до 15м</td>
		</tr>
		<tr style=""box-sizing: border-box; border: 0px; font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 0px; vertical-align: baseline;"">
			<td style=""box-sizing: border-box; border: 1px solid rgb(225, 225, 225); font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 8px; vertical-align: top; line-height: 1.5;"">Степень защиты </td>
			<td style=""box-sizing: border-box; border: 1px solid rgb(225, 225, 225); font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 8px; vertical-align: top; line-height: 1.5;"">IP22          </td>
		</tr>
		<tr style=""box-sizing: border-box; border: 0px; font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 0px; vertical-align: baseline;"">
			<td style=""box-sizing: border-box; border: 1px solid rgb(225, 225, 225); font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 8px; vertical-align: top; line-height: 1.5;"">Материал корпуса </td>
			<td style=""box-sizing: border-box; border: 1px solid rgb(225, 225, 225); font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 8px; vertical-align: top; line-height: 1.5;"">пластик</td>
		</tr>
		<tr style=""box-sizing: border-box; border: 0px; font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 0px; vertical-align: baseline;"">
			<td style=""box-sizing: border-box; border: 1px solid rgb(225, 225, 225); font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 8px; vertical-align: top; line-height: 1.5;"">Рабочая температура </td>
			<td style=""box-sizing: border-box; border: 1px solid rgb(225, 225, 225); font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 8px; vertical-align: top; line-height: 1.5;"">-20 до +60 С </td>
		</tr>
		<tr style=""box-sizing: border-box; border: 0px; font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 0px; vertical-align: baseline;"">
			<td style=""box-sizing: border-box; border: 1px solid rgb(225, 225, 225); font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 8px; vertical-align: top; line-height: 1.5;"">Питание  </td>
			<td style=""box-sizing: border-box; border: 1px solid rgb(225, 225, 225); font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 8px; vertical-align: top; line-height: 1.5;"">12В / 2А  microUSB (кабель/блок в комплекте) <br style=""box-sizing: border-box;"" />
			потребляемая мощность 10Вт    </td>
		</tr>
		<tr style=""box-sizing: border-box; border: 0px; font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 0px; vertical-align: baseline;"">
			<td style=""box-sizing: border-box; border: 1px solid rgb(225, 225, 225); font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 8px; vertical-align: top; line-height: 1.5;"">Совместимость   </td>
			<td style=""box-sizing: border-box; border: 1px solid rgb(225, 225, 225); font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 8px; vertical-align: top; line-height: 1.5;"">Android / iOS / Windows</td>
		</tr>
		<tr style=""box-sizing: border-box; border: 0px; font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 0px; vertical-align: baseline;"">
			<td colspan=""1"" style=""box-sizing: border-box; border: 1px solid rgb(225, 225, 225); font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 8px; vertical-align: top; line-height: 1.5;"">Прочее</td>
			<td colspan=""1"" style=""box-sizing: border-box; border: 1px solid rgb(225, 225, 225); font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 8px; vertical-align: top; line-height: 1.5;"">программа на смартфон: YCC365 plus<br style=""box-sizing: border-box;"" />
			инструкция на Английском<br style=""box-sizing: border-box;"" />
			поворотный корпус 355 / 135 градусов<br style=""box-sizing: border-box;"" />
			крепление на стену в комплекте<br style=""box-sizing: border-box;"" />
			встроенный микрофон<br style=""box-sizing: border-box;"" />
			ручная запись, запись обнаружения движения, запись по расписанию</td>
		</tr>
		<tr style=""box-sizing: border-box; border: 0px; font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 0px; vertical-align: baseline;"">
			<td colspan=""1"" style=""box-sizing: border-box; border: 1px solid rgb(225, 225, 225); font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 8px; vertical-align: top; line-height: 1.5;"">Размер </td>
			<td colspan=""1"" style=""box-sizing: border-box; border: 1px solid rgb(225, 225, 225); font-family: inherit; font-style: inherit; font-weight: inherit; margin: 0px; outline: 0px; padding: 8px; vertical-align: top; line-height: 1.5;"">100*80*120мм </td>
		</tr>
	</tbody>
</table>";;Б0000008719;1 668,00;0,00;0,00;0,00000;600;Б0000008719;1669.59;Орбита OT-С329 Белая видеокамера IP-WI-FI;http://www.absolut-tds.com/search/?q=Б0000008719;шт;"https://i5.stat01.com/2/2404/124034734/6e1ffd/61dl8vecc5l-sl1000-jpg.jpg
https://i2.stat01.com/2/2404/124034735/6e1ffd/61kk0jijcnl-sl1000-jpg.jpg
https://i2.stat01.com/2/2404/124034736/6e1ffd/61oe4lio7ql-sl1000-jpg.jpg
https://i2.stat01.com/2/2404/124034737/6e1ffd/61tt1-zi-wl-sl1000-jpg.jpg
https://i5.stat01.com/2/2404/124034738/6e1ffd/329-jpg.jpg";;;Орбита OT-С329 Белая видеокамера IP-WI-FI купить;;;Orbita-OT-S329-Belaya-videokamera-IP-WI-FI;;122883478;;;Бренд;ОРБИТА;Минимальный заказ;1
